n. intervista,clip_n,intervistato,VIDEO CHE DEVONO ESSERCI IL 15/6,Check website,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,tags,srt_starter,srt_clip,thumb
19,3,Chiara Tonelli,x,MN,,,le biotecnologie,6-Dec,,rGz9zgsbGEQ,H45alCm5t7Q,approvato dall'intervistato,Magenta/ciano,Basta bufale,12,Genetista,il caso degli OGM,17,0'15'',veramente i fatti,17,1'03'',,,ricerca;minacce;informazione;rete;salute;bio;scienza,,,img/thumbs/
20,1,Giuseppe Testa,,,,,la salute,16-Dec,,,,approvato - cambiare sottopancia?,Blu/verde,Terapia genica per tutti?,25,Medico e biologo molecolare,Intervenire sul genoma,22,0'26'',Sarà migliore per quanti?,25,0'39'',,,sostenibile;salute;innovativo;opportunità;equo,,,img/thumbs/gtesta-thumb.png
20,2,Giuseppe Testa,,,,,la salute,16-Dec,,,,approvato - cambiare sottopancia?,Rosso/giallo,Nuove malattie,14,Medico e biologo molecolare,Malattie della longevità,24,0'10'',rapporto con l'ecosistema,25,0'47'',,,salute;sostenibile;generazioni;globale,,,img/thumbs/gtesta-thumb.png
20,3,Giuseppe Testa,,,,,la salute,16-Dec,,,,approvato - cambiare sottopancia?,Magenta/ciano,Vertigine digitale,18,Medico e biologo molecolare,Riprogrammare,13,0'21'',Avatar,6,0'36'',,,salute;digitale;scienza,,,img/thumbs/gtesta-thumb.png
21,1,Serena Giacomin,x,MN,,,il clima,16-Dec,,YnbAHpQBqG8,96ys25XnyS0,approvato dall'intervistato,Blu/verde,Riscaldamento globale,21,Meteorologa,Più caldo,9,0'13'',Microclima,10,0'36'',,,clima;territorio;diverso;sostenibile,,,img/thumbs/sgiacomin-thumb.png
21,2,Serena Giacomin,x,MN,,,il clima,16-Dec,,QHNfOpzTjB8,_UgnEMVVpsE,approvato dall'intervistato,Rosso/giallo,Una sfida da affrontare,23,Meteorologa,Ottimismo,9,0'14'',La giusta strada,16,1'06'',,,positivo;sostenibile;clima,,,img/thumbs/sgiacomin-thumb.png
21,3,Serena Giacomin,x,MN,,,il clima,16-Dec,,QjI4vaXoZW0,yN1LW393Prk,approvato dall'intervistato,Magenta/ciano,"Previsioni, non certezze",24,Meteorologa,Più dati,8,0'20'',Effetto farfalla,16,0'37'',,,tecnologico;big data;clima,,,img/thumbs/sgiacomin-thumb.png
22,1,Tomaso Poggio,x,MN,,,l'intelligenza artificiale,16-Dec,,UtsSlSuida8,WpKOCJIEqL0,approvato dall'intervistato,Blu/verde,Intelligente!,13,Scienziato cognitivo,L'intelligenza umana,20,0'26'',,,,,,scienza;tecnologico;intelligenza artificiale;smart,,,img/thumbs/
22,2,Tomaso Poggio,x,MN,,,l'intelligenza artificiale,16-Dec,,3D7HRyXhiTw,YQai2glRKnk,approvato dall'intervistato,Rosso/giallo,Babysitter di macchine,22,Scienziato cognitivo,parzialmente autonome,21,0'29'',algoritmi,9,1'16'',,,scienza;tecnologico;intelligenza artificiale;diverso;in movimento,,,img/thumbs/
22,3,Tomaso Poggio,x,MN,,,l'intelligenza artificiale,16-Dec,,8JBFItr0-DY,jCf1xsp9fHI,approvato dall'intervistato,Magenta/ciano,- lavoro + creatività,21,Scienziato cognitivo,Ingegneria sociale,18,0'45'',Riciclare la ricchezza,22,1'12'',,,lavoro;intelligenza artificiale;ricchezza;positivo,,,img/thumbs/
23,1,Bebe Vio,x,MN,Y,,la disabilità,20-Dec,,bEPxnfeD_vw,QRhYhlNENHo,approvato dall'intervistato,Blu/verde,50% robot,9,Atleta,Non abbiamo limiti,18,0'22'',,,,,,integrazione;tecnologico;opportunità;positivo;salute,,,img/thumbs/
23,2,Bebe Vio,x,MN,Y,,la disabilità,20-Dec,,jLu0ZQndeow,ZcxUaezPBmE,approvato dall'intervistato,Rosso/giallo,Accessibile per tutti,21,Atleta,Portare gli occhiali,20,0'16'',un mondo bellissimo,19,0'49'',,,integrazione;accessibile;minacce,,,img/thumbs/
23,3,Bebe Vio,x,MN,Y,,la disabilità,20-Dec,,YTv2JRICElw,I-ebM8JeFII,approvato dall'intervistato,Magenta/ciano,Disabilità in estinzione,24,Atleta,cose superbelle,15,0'18'',tutte persone normali,21,0'33'',,,integrazione;positivo;salute;visionario,,,img/thumbs/
24,1,Catia Bastioli,x,MN,,,la bioeconomia,23-Gen,,bSCRG9QuIC4,InSw6j5Ys64,approvato dall'intervistato,Blu/verde,Buona plastica,14,Scienziata e manager,utilizzare la CO2,17,0'29'',capitale naturale,17,0'57'',Risorse più limitate,1'15'',bio;tecnologico;Made in Italy;crescita;istituzioni;economia;territorio;rete,,,img/thumbs/
24,2,Catia Bastioli,x,MN,,,la bioeconomia,23-Gen,,atnjsUrg4Rs,jdDitYYmVaA,approvato dall'intervistato,Rosso/giallo,Fare sistema,12,Scienziata e manager,Rigenerazione territoriale,26,0'21'',Progetto di sviluppo,20,0'47'',A sistema,1'02'',territorio;materiali;crescita;rete;sostenibile;bio;in Europa,,,img/thumbs/
24,3,Catia Bastioli,x,MN,,,la bioeconomia,23-Gen,,Gokn-r6czjg,MD3cBwN-8jI,approvato dall'intervistato,Magenta/ciano,Primi in bioeconomia,20,Scienziata e manager,primi al mondo,14,0'20'',Modello sistemico,17,0'35'',,,materiali;sostenibile;crescita;rete;bio;Sud,,,img/thumbs/
25,1,Maurizio Molinari,x,MN,,,terrorismo,15-Dec,,IZT0K_wFZIg,uzaIinKgZ4A,approvato dall'intervistato,Blu/verde,Guerre di civiltà,17,Giornalista,adattarsi,9,0'40'',,,,,,terrorismo;minacce;identità;fede;valori,,,
25,2,Maurizio Molinari,x,MN,,,terrorismo,15-Dec,,ebW8m1Q37so,jdDitYYmVaA,approvato dall'intervistato,Rosso/giallo,Medio Oriente sorprendente,26,Giornalista,creare stabilità,16,0'33'',confederazioni,14,0'58'',convivenza,1'34'',minacce;positivo;diverso,,,
25,3,Maurizio Molinari,x,MN,,,terrorismo,15-Dec,,gTjKiiJQjCQ,eMRzHB-HvWo,approvato dall'intervistato,Magenta/ciano,Sicurezza e libertà,19,Giornalista,nel lungo termine,17,0'19'',patto sociale,13,0'36'',strutture cibernetiche,0'55'',minacce;terrorismo;digitale;informazione;immigrazione;legalità,,,
26,1,Titti Postiglione,x,MN,,,protezione civile,16-Gen,,07eI4KvAXos,RMHjM7UN-cE,approvato dall'intervistato,Blu/verde,Prevedere il rischio,20,Protezione Civile,comunità vulnerabili,20,0'45'',vulcani esplosivi,17,1'01'',rischio importante,1'20'',minacce;clima,,,
26,2,Titti Postiglione,x,MN,,,protezione civile,16-Gen,,wzVpKH0Bwls,K7KqC0xi4sI,approvato dall'intervistato,Rosso/giallo,Scelte strategiche,18,Protezione Civile,lavorare in prevenzione,23,0'22'',riduzione decisiva,18,0'41'',soldi risparmiati,1'22'',minacce;clima;territorio,,,
